CHROMATOGRAM
3-phenylpropyl-chloride.raw
Data points: 36001
Time	Intensity
1.029167	-232
1.030000	-232
1.030833	-236
1.031667	-245
1.032500	-243
1.033333	-239
1.034167	-239
1.035000	-233
1.035833	-239
1.036667	-238
1.037500	-236
1.038333	-237
1.039167	-246
1.040000	-238
1.040833	-233
1.041667	-241
1.042500	-236
1.043333	-234
1.044167	-235
1.045000	-240
1.045833	-246
1.046667	-248
1.047500	-240
1.048333	-241
1.049167	-243
1.050000	-240
1.050833	-237
1.051667	-242
1.052500	-241
1.053333	-238
1.054167	-245
1.055000	-239
1.055833	-239
1.056667	-241
1.057500	-243
1.058333	-241
1.059167	-245
1.060000	-245
1.060833	-240
1.061667	-238
1.062500	-243
1.063333	-240
1.064167	-242
1.065000	-242
1.065833	-242
1.066667	-235
1.067500	-237
1.068333	-228
1.069167	-237
1.070000	-237
1.070833	-237
1.071667	-231
1.072500	-234
1.073333	-231
1.074167	-236
1.075000	-241
1.075833	-239
1.076667	-245
1.077500	-241
1.078333	-239
1.079167	-237
1.080000	-243
1.080833	-237
1.081667	-244
1.082500	-247
1.083333	-239
1.084167	-240
1.085000	-241
1.085833	-237
1.086667	-242
1.087500	-247
1.088333	-248
1.089167	-244
1.090000	-251
1.090833	-244
1.091667	-248
1.092500	-250
1.093333	-244
1.094167	-253
1.095000	-244
1.095833	-244
1.096667	-245
1.097500	-241
1.098333	-239
1.099167	-243
1.100000	-241
1.100833	-237
1.101667	-241
1.102500	-241
1.103333	-236
1.104167	-245
1.105000	-246
1.105833	-240
1.106667	-243
1.107500	-247
1.108333	-241
1.109167	-247
1.110000	-252
1.110833	-248
1.111667	-253
1.112500	-251
1.113333	-241
1.114167	-252
1.115000	-250
1.115833	-247
1.116667	-247
1.117500	-251
1.118333	-245
1.119167	-249
1.120000	-256
1.120833	-248
1.121667	-248
1.122500	-250
1.123333	-244
1.124167	-247
1.125000	-247
1.125833	-246
1.126667	-245
1.127500	-245
1.128333	-242
1.129167	-243
1.130000	-251
1.130833	-248
1.131667	-250
1.132500	-244
1.133333	-249
1.134167	-247
1.135000	-246
1.135833	-250
1.136667	-249
1.137500	-251
1.138333	-247
1.139167	-252
1.140000	-250
1.140833	-242
1.141667	-250
1.142500	-246
1.143333	-248
1.144167	-248
1.145000	-243
1.145833	-249
1.146667	-253
1.147500	-261
1.148333	-254
1.149167	-257
1.150000	-259
1.150833	-251
1.151667	-249
1.152500	-251
1.153333	-247
1.154167	-252
1.155000	-248
1.155833	-249
1.156667	-249
1.157500	-254
1.158333	-252
1.159167	-255
1.160000	-254
1.160833	-254
1.161667	-255
1.162500	-248
1.163333	-252
1.164167	-258
1.165000	-251
1.165833	-243
1.166667	-249
1.167500	-249
1.168333	-246
1.169167	-257
1.170000	-253
1.170833	-248
1.171667	-253
1.172500	-261
1.173333	-258
1.174167	-252
1.175000	-252
1.175833	-254
1.176667	-252
1.177500	-253
1.178333	-252
1.179167	-253
1.180000	-254
1.180833	-254
1.181667	-260
1.182500	-259
1.183333	-254
1.184167	-254
1.185000	-251
1.185833	-250
1.186667	-250
1.187500	-253
1.188333	-254
1.189167	-259
1.190000	-260
1.190833	-258
1.191667	-261
1.192500	-258
1.193333	-259
1.194167	-253
1.195000	-258
1.195833	-256
1.196667	-256
1.197500	-259
1.198333	-261
1.199167	-265
1.200000	-265
1.200833	-262
1.201667	-264
1.202500	-260
1.203333	-263
1.204167	-264
1.205000	-272
1.205833	-267
1.206667	-276
1.207500	-268
1.208333	-266
1.209167	-266
1.210000	-258
1.210833	-264
1.211667	-258
1.212500	-263
1.213333	-262
1.214167	-260
1.215000	-264
1.215833	-260
1.216667	-269
1.217500	-259
1.218333	-261
1.219167	-267
1.220000	-270
1.220833	-263
1.221667	-266
1.222500	-270
1.223333	-266
1.224167	-270
1.225000	-265
1.225833	-268
1.226667	-264
1.227500	-268
1.228333	-266
1.229167	-272
1.230000	-272
1.230833	-264
1.231667	-270
1.232500	-268
1.233333	-261
1.234167	-266
1.235000	-267
1.235833	-265
1.236667	-264
1.237500	-263
1.238333	-261
1.239167	-268
1.240000	-266
1.240833	-263
1.241667	-266
1.242500	-264
1.243333	-259
1.244167	-267
1.245000	-263
1.245833	-265
1.246667	-265
1.247500	-264
1.248333	-265
1.249167	-262
1.250000	-260
1.250833	-261
1.251667	-263
1.252500	-266
1.253333	-264
1.254167	-267
1.255000	-268
1.255833	-259
1.256667	-267
1.257500	-259
1.258333	-264
1.259167	-264
1.260000	-261
1.260833	-256
1.261667	-258
1.262500	-258
1.263333	-263
1.264167	-267
1.265000	-263
1.265833	-272
1.266667	-276
1.267500	-268
1.268333	-270
1.269167	-266
1.270000	-266
1.270833	-261
1.271667	-262
1.272500	-272
1.273333	-265
1.274167	-271
1.275000	-265
1.275833	-262
1.276667	-269
1.277500	-267
1.278333	-265
1.279167	-274
1.280000	-271
1.280833	-266
1.281667	-268
1.282500	-267
1.283333	-261
1.284167	-263
1.285000	-270
1.285833	-264
1.286667	-269
1.287500	-271
1.288333	-278
1.289167	-277
1.290000	-277
1.290833	-271
1.291667	-278
1.292500	-275
1.293333	-270
1.294167	-270
1.295000	-277
1.295833	-269
1.296667	-275
1.297500	-271
1.298333	-274
1.299167	-273
1.300000	-271
1.300833	-268
1.301667	-272
1.302500	-269
1.303333	-272
1.304167	-273
1.305000	-276
1.305833	-268
1.306667	-281
1.307500	-272
1.308333	-278
1.309167	-277
1.310000	-282
1.310833	-282
1.311667	-277
1.312500	-269
1.313333	-273
1.314167	-271
1.315000	-278
1.315833	-273
1.316667	-281
1.317500	-279
1.318333	-269
1.319167	-270
1.320000	-270
1.320833	-269
1.321667	-269
1.322500	-272
1.323333	-268
1.324167	-275
1.325000	-273
1.325833	-269
1.326667	-279
1.327500	-275
1.328333	-273
1.329167	-275
1.330000	-272
1.330833	-270
1.331667	-273
1.332500	-281
1.333333	-275
1.334167	-272
1.335000	-280
1.335833	-278
1.336667	-283
1.337500	-276
1.338333	-278
1.339167	-281
1.340000	-273
1.340833	-273
1.341667	-277
1.342500	-273
1.343333	-271
1.344167	-274
1.345000	-278
1.345833	-276
1.346667	-284
1.347500	-280
1.348333	-282
1.349167	-278
1.350000	-281
1.350833	-274
1.351667	-279
1.352500	-276
1.353333	-277
1.354167	-279
1.355000	-284
1.355833	-279
1.356667	-283
1.357500	-287
1.358333	-284
1.359167	-283
1.360000	-286
1.360833	-288
1.361667	-288
1.362500	-283
1.363333	-284
1.364167	-280
1.365000	-284
1.365833	-287
1.366667	-284
1.367500	-285
1.368333	-289
1.369167	-291
1.370000	-286
1.370833	-289
1.371667	-287
1.372500	-290
1.373333	-286
1.374167	-283
1.375000	-286
1.375833	-288
1.376667	-288
1.377500	-287
1.378333	-290
1.379167	-290
1.380000	-289
1.380833	-287
1.381667	-282
1.382500	-286
1.383333	-279
1.384167	-290
1.385000	-286
1.385833	-283
1.386667	-288
1.387500	-287
1.388333	-286
1.389167	-285
1.390000	-289
1.390833	-285
1.391667	-293
1.392500	-289
1.393333	-289
1.394167	-291
1.395000	-284
1.395833	-282
1.396667	-287
1.397500	-286
1.398333	-288
1.399167	-286
1.400000	-287
1.400833	-289
1.401667	-292
1.402500	-291
1.403333	-290
1.404167	-289
1.405000	-289
1.405833	-282
1.406667	-288
1.407500	-289
1.408333	-289
1.409167	-288
1.410000	-291
1.410833	-285
1.411667	-286
1.412500	-290
1.413333	-289
1.414167	-288
1.415000	-292
1.415833	-291
1.416667	-297
1.417500	-292
1.418333	-285
1.419167	-294
1.420000	-290
1.420833	-291
1.421667	-293
1.422500	-297
1.423333	-294
1.424167	-296
1.425000	-291
1.425833	-298
1.426667	-296
1.427500	-294
1.428333	-290
1.429167	-301
1.430000	-297
1.430833	-289
1.431667	-292
1.432500	-293
1.433333	-290
1.434167	-292
1.435000	-295
1.435833	-292
